position,cluster,role_cluster,playstyle,n_pemain,dpm_mean,damageshare_mean,earnedgoldshare_mean,cspm_mean,jungle_cs_share_mean,deaths_pm_mean,death_share_mean,dmg_taken_pm_mean,kp_mean,kill_ratio_mean,wpm_mean,wcpm_mean,dpm_z,damageshare_z,earnedgoldshare_z,cspm_z,jungle_cs_share_z,deaths_pm_z,death_share_z,dmg_taken_pm_z,kp_z,kill_ratio_z,wpm_z,wcpm_z
bot,0,bot_0,Low Resource Support Carry,16,631.2731503462771,0.2613622536889679,0.2473884885343654,8.847116313551764,0.03100187434969433,0.09478325242470799,0.18895618035441925,513.6812193904448,0.6867711707154184,0.377524478942568,0.39396250324119997,0.27819727561175,-0.9724094298703889,-0.7407280699351529,-1.1314029012784925,-1.1798737041459595,-0.5342792014282084,1.2665162246575583,1.039364707283399,0.6752755918658594,-0.622860212369814,-1.0826122316446698,-0.35043309920785126,-0.8065822633374687
bot,1,bot_1,Balance,33,703.0295197682067,0.2738998639907994,0.2572912320140337,9.287757288651635,0.032980085427113386,0.06662380232943967,0.15766989960319366,472.37192458122155,0.7098077791406754,0.4274550740767462,0.423736347705502,0.3241709020017209,0.03241237991367613,0.04704414974972671,-0.11996430654597397,0.005553563830885462,-0.35995914538194634,-0.35372676229057415,-0.3063311460428424,-0.46307735835253555,0.09499115246783413,-0.05552686353292564,0.23783641058496982,0.05068939659809976
bot,2,bot_2,Primary Carry / Hyper Carry,21,749.9855927206119,0.2809565939558675,0.26875131495990195,9.616602604508236,0.04810353487728268,0.06566128218397975,0.1575725261636237,496.9130208539174,0.7171982594530716,0.4744953514612393,0.40629612450846797,0.350137217570878,0.6899496352749945,0.49043772272482494,1.0505365969748994,0.890224364757922,0.9727199533550265,-0.4091084018539035,-0.31051940462478617,0.21319730265618947,0.3252883507846962,0.912103914423871,-0.1067462839037288,0.5348841012220147
jng,0,jng_0,Low Resource Facilitator,24,379.1336168350868,0.15020191225824484,0.1845987361963811,6.106464601256327,0.8948958085016918,0.09329373744559132,0.2091315042814773,1152.0420109162708,0.7221584196452852,0.24405138550081815,0.3046659240210132,0.32550012333538264,-0.7135980662206628,-0.859227991085568,-1.0337797195164542,-0.9188094030535834,0.08329932444874401,0.10306522652390249,0.14228236131612282,-0.28338973958605795,-0.4426368851481663,-0.8624587095751681,-0.3474524624186566,-0.4293260198386288
jng,1,jng_1,Aggresive Diver,34,430.9907381461747,0.1676906235608499,0.19996917760786892,6.59355050560473,0.8953343719662934,0.1004538976548447,0.2156639525913627,1211.9351771123322,0.7421821628744717,0.29730199342696073,0.3322015290680298,0.3399002810118349,0.3150693684712572,0.4476072863757372,0.46708091800631946,0.27596876104942997,0.12342660636977504,0.48226223755940417,0.4207147804606448,0.5001907933905408,0.20685277368408483,0.3557910169142842,0.21243706966375092,-0.10352942621381818
jng,2,jng_2,Controlled Farmer,16,435.3163509599342,0.16621947584584115,0.20090154350669573,6.803836087252778,0.8897532423674982,0.0690775841120484,0.17981105819424925,1124.9509856741183,0.7427229330936538,0.30525040568953354,0.32518411445858497,0.3826644444059536,0.40087469132956954,0.3376765030799069,0.5581226285112499,0.7917804873503408,-0.3872305252088708,-1.1794050945995898,-1.10744245045306,-0.637820826575817,0.22439318364356287,0.5376321534199007,0.06974992059251527,0.863989060462306
mid,0,mid_0,Utility Facilitator,21,639.2200795585367,0.24896526667079885,0.22358184485562216,8.298436944785593,0.01914142408155667,0.08600655963738106,0.1953063652896027,606.1368374718722,0.6899497309865437,0.3096488301279596,0.40813203090655403,0.24027767140627732,-0.3011995026511746,-0.5287019943649588,-1.050832094044382,-0.8508427979820984,-0.30804477342752906,0.2376691885685079,0.2853585034604319,-0.135797787753524,0.23900632015937187,-0.9383754206507643,-0.14111674871678798,0.027603176153472478
mid,1,mid_1,High Risk Finisher,13,649.5344604535185,0.26794792526597494,0.23651091812074257,8.430215422754417,0.016483282031498177,0.10554993585187691,0.2122502387644593,658.2131953118804,0.6697524288421486,0.37349707102017804,0.4434597209545214,0.2071143733384513,-0.1440652452603568,0.6036011208690375,0.44977544805437863,-0.4466694020952833,-0.5542602848513778,1.3443191371223588,0.9182694117024772,0.7867049071005692,-0.25597570074017784,0.6795717981467951,0.43128404142420895,-0.6916554424485568
mid,2,mid_2,Controlled Stabiliser,18,616.7049560907565,0.24904687423914995,0.23607445912026342,8.727861052579787,0.02108607266727486,0.07264903901258814,0.1653721580676879,598.9012392133187,0.6817787401627031,0.34692092832485977,0.4054593120441694,0.23155773996345466,-0.644205761794998,-0.5238341565219448,0.39911801464785424,0.46622962991395905,-0.12791796415421244,-0.518704702513311,-0.832785249704489,-0.2639722448248909,0.038757122428838935,0.006118691853027699,-0.18442177054460787,-0.1615181178457451
mid,3,mid_3,Self Reliant Damage Dealer,14,711.8087820831659,0.2653578655795788,0.23313829085434903,8.810869140555456,0.033852599233805604,0.06715161953554656,0.18443098829717997,584.1895217364611,0.6568989171891351,0.3609047307154811,0.45256910580955373,0.2445051629444013,0.804651830773982,0.4491057620211682,0.05833285902586382,0.7208209814025895,1.0546060727441733,-0.8299978442241354,-0.12087356265850925,-0.5245818492835718,-0.5709809983873312,0.3604754269792724,0.5788798531412824,0.11929067109574462
