role,K,WCSS,silhouette,davies_bouldin,calinski_harabasz,gap,gap_sk,ARI_boot,ARI_sd,min_cluster,min_cluster_pct
top,2,541.0142102496251,0.17100237316116684,1.9747189696323437,14.426850552118895,0.5311725527867166,0.04690074229964212,0.30365646238190463,0.22264770999409983,26,0.38235294117647056
top,3,450.87305135544017,0.16418994873540135,1.7025836923935085,15.02201881687703,0.5188207595059433,0.043601975913246695,0.6937513089187484,0.15724737621097631,13,0.19117647058823528
top,4,397.5136045502962,0.15921322744362007,1.579514120185009,14.047863691405722,0.5142459375596884,0.050420184603840665,0.6244449142214306,0.13595407225380196,11,0.16176470588235295
top,5,358.88081114796637,0.19120358135703103,1.3742438395011471,13.183176715216534,0.5083840922707035,0.047705405570974926,0.6130034844544712,0.13898574135928893,3,0.04411764705882353
top,6,331.01460829978015,0.15836805853281688,1.445930662538687,12.296779487334392,0.5028433253073414,0.04817658020640842,0.48577637704639315,0.10344174774253523,4,0.058823529411764705
top,7,302.9304233554987,0.16322829466444788,1.451127104609815,11.959261196361963,0.5096889316880144,0.04475318818153612,0.5063127996700352,0.12763653624781193,6,0.08823529411764706
top,8,288.45527859673416,0.15258040684080648,1.443342092403391,11.01884581666881,0.4827752754592458,0.04672618960411125,0.42672647243186973,0.10036672462745773,3,0.04411764705882353
jng,2,578.4156742712539,0.18329945914898454,1.7528304309736908,20.255953746976534,0.5988465579067954,0.04072933238670285,0.7127001379997959,0.1811640613548197,29,0.3918918918918919
jng,3,495.4391201601975,0.17710170843491022,1.7029523075084538,17.605562962700716,0.5806950574150065,0.04107575588095638,0.5971865966859565,0.2781457892486316,16,0.21621621621621623
jng,4,434.2987123653263,0.17115305504591058,1.6830397675825273,16.48565329974534,0.5734790347701262,0.04149295884551711,0.5953347427668298,0.18177675318670838,13,0.17567567567567569
jng,5,391.2515519511317,0.16250442506985238,1.5517200324287692,15.426458853581613,0.5691446561277553,0.04012304777796902,0.530930673581494,0.1504304861399911,9,0.12162162162162163
jng,6,357.2044799978483,0.17098617580540476,1.4387961159121965,14.617853282712353,0.5652439326904783,0.03857170637362577,0.5763946536673678,0.1558445047429691,10,0.13513513513513514
jng,7,322.1175348497977,0.1786304509147695,1.372682692913629,14.526116121091583,0.5903669903431856,0.03907028130566765,0.5779647986224326,0.130872879435355,7,0.0945945945945946
jng,8,308.08073385027546,0.16658822681304267,1.3191087426616614,13.253531411545179,0.5586087335904386,0.04255475622295189,0.5593473360039856,0.0914168765395923,6,0.08108108108108109
mid,2,578.412965558025,0.17023622615246572,1.952703867471072,16.187151374821457,0.5787273917588536,0.03973222705586197,0.6539156654886602,0.22201204320311685,32,0.4444444444444444
mid,3,507.6262480891107,0.16241095116612134,1.7251644194071825,13.901356235566483,0.5473748480944254,0.039792443752297645,0.4210472234746958,0.15750822857014518,14,0.19444444444444445
mid,4,450.6631758401602,0.16102487951454028,1.5591559696412294,13.152715560536192,0.537618590716904,0.042786183401627556,0.46495721147097435,0.15616591031296842,7,0.09722222222222222
mid,5,398.9689579252932,0.15909712420761132,1.5696489735270633,13.149106573616859,0.5547746892808689,0.04791304843400674,0.5595093981173587,0.14991032279336902,6,0.08333333333333333
mid,6,364.5821071816896,0.17028817887242984,1.4143494300954773,12.584640859366198,0.5519948060655633,0.04887927678609785,0.5330153892844002,0.15727748487789578,5,0.06944444444444445
mid,7,336.1249669976444,0.15622993009876313,1.4155796710293187,12.119898326059095,0.5540712623395736,0.045833854467371316,0.40010169548494856,0.10021963650144637,6,0.08333333333333333
mid,8,308.53873348700495,0.16269948024140712,1.3221903943755748,11.96065544453011,0.572279840401988,0.04420517430570247,0.44092904136353744,0.10194373409351411,2,0.027777777777777776
bot,2,493.18231723683573,0.28767990521456893,1.354475926631444,29.535865498962295,0.6769397285054897,0.04476931086216232,0.980406011659396,0.056857360655549846,21,0.3
bot,3,422.3982065892993,0.18063186782692986,1.6640325639065539,22.602946093696186,0.6730638039066275,0.04503352990626076,0.7443665723810727,0.14914259497785717,16,0.22857142857142856
bot,4,384.05614881252365,0.1745692471158965,1.4724901503539776,18.522001137326587,0.6380859326791812,0.04421677749043417,0.555597287931992,0.16282945176428426,10,0.14285714285714285
bot,5,349.2273664772609,0.15010482876538733,1.6274074418051305,16.666073437329867,0.6300194449028176,0.04366639623463345,0.46191645897411227,0.13088571413139488,5,0.07142857142857142
bot,6,320.37061112660166,0.15328510238958126,1.5982539235216215,15.463128052966622,0.6231404110899943,0.04324095160145381,0.45120685810941424,0.13853680550276976,6,0.08571428571428572
bot,7,300.0610018126045,0.1367887271708487,1.563080363488795,14.253845180594526,0.6088899642993644,0.04354323509061526,0.413446580473498,0.10652524285646954,5,0.07142857142857142
bot,8,278.5381691371166,0.152297233277804,1.4610845537647688,13.637124833205144,0.6085417895993297,0.042229879994023126,0.44801209881330956,0.10055804268228723,3,0.04285714285714286
sup,2,532.8724561861075,0.1833186692145988,1.87580682358942,16.355896880868386,0.7396306513598567,0.04759415289837977,0.617945736797193,0.25206682271808767,25,0.36764705882352944
sup,3,456.315054332547,0.15202881881194616,1.7292819273463866,14.857918104064284,0.7097690595254953,0.050979646345888606,0.5303640042114404,0.22478046167237525,15,0.22058823529411764
sup,4,405.9428038222807,0.15623356146931136,1.5719707240680112,13.610287983034814,0.6807493448981612,0.04862920624070863,0.5519505241537623,0.1748745972013565,9,0.1323529411764706
sup,5,363.53107929102197,0.1680837894556984,1.536414093249055,13.057996150875974,0.6743072045476657,0.05146059235420234,0.5433602860227894,0.1748693177807676,9,0.1323529411764706
sup,6,335.3313401324397,0.1602045475429989,1.467693684851536,12.187907953144386,0.6585733118133703,0.051052146552654,0.4971835134268335,0.11985205863109555,3,0.04411764705882353
sup,7,307.11724786781446,0.14820015380945925,1.4765089712806136,11.844771310005331,0.6609359649113342,0.04955224503064251,0.49275571440241395,0.12112092007611372,6,0.08823529411764706
sup,8,294.827938134387,0.12696390461168305,1.3981753646538706,10.759762487547308,0.6206346001618357,0.05023364920805707,0.4550348140957576,0.12468993109965135,3,0.04411764705882353
