role,K,sil_kmeans,sil_ward,sil_gmm,ARI_km_vs_ward,ARI_km_vs_gmm
top,4,0.15921322744362007,0.15598215270924054,0.07185516258111997,0.3610907743952742,0.19273837342806585
jng,3,0.17710170843491022,0.1559009166393526,0.08391994653857728,0.21227262100166067,0.2987952292273322
mid,5,0.15909712420761132,0.16541564909207157,0.1419968070825485,0.6226667419272202,0.23200358299705037
bot,3,0.18063186782692986,0.1763996843908996,0.17485902184913418,0.6580075003935658,0.36320703881088584
sup,4,0.15623356146931136,0.11483663173382672,0.1171527912919693,0.3807599465596094,0.4219671091573933
