role,cluster,role_cluster,champion,n_pick,share_cluster,share_role,lift
jng,2,jng_2,Jarvan IV,37,0.0457,0.0389,1.175
jng,2,jng_2,Wukong,90,0.1112,0.0961,1.158
jng,2,jng_2,Vi,89,0.11,0.0979,1.124
jng,2,jng_2,Trundle,40,0.0494,0.0473,1.046
jng,2,jng_2,Xin Zhao,132,0.1632,0.1586,1.029
jng,2,jng_2,Viego,26,0.0321,0.032,1.004
jng,2,jng_2,Pantheon,58,0.0717,0.0787,0.911
jng,2,jng_2,Naafiri,41,0.0507,0.0566,0.896
jng,2,jng_2,Skarner,55,0.068,0.0763,0.891
jng,2,jng_2,Poppy,19,0.0235,0.0284,0.826
jng,2,jng_2,Sejuani,55,0.068,0.0916,0.742
jng,2,jng_2,Maokai,20,0.0247,0.035,0.706
jng,2,jng_2,Nocturne,18,0.0222,0.0359,0.619
mid,0,mid_0,Galio,80,0.0729,0.0514,1.42
mid,0,mid_0,Annie,67,0.0611,0.0523,1.169
mid,0,mid_0,Orianna,84,0.0766,0.0668,1.146
mid,0,mid_0,Taliyah,168,0.1531,0.1339,1.144
mid,0,mid_0,Sylas,58,0.0529,0.0481,1.099
mid,0,mid_0,Aurora,78,0.0711,0.0665,1.069
mid,0,mid_0,Ryze,90,0.082,0.0817,1.005
mid,0,mid_0,Ahri,92,0.0839,0.0858,0.977
mid,0,mid_0,Viktor,80,0.0729,0.0763,0.956
mid,0,mid_0,Yone,69,0.0629,0.0683,0.921
mid,0,mid_0,Azir,98,0.0893,0.1051,0.85
mid,0,mid_0,Akali,30,0.0273,0.0324,0.845
mid,0,mid_0,Hwei,16,0.0146,0.0175,0.833
mid,0,mid_0,Corki,21,0.0191,0.0318,0.603
mid,1,mid_1,Akali,20,0.0461,0.0324,1.424
mid,1,mid_1,Yone,35,0.0806,0.0683,1.181
mid,1,mid_1,Corki,16,0.0369,0.0318,1.16
mid,1,mid_1,Sylas,23,0.053,0.0481,1.102
mid,1,mid_1,Ahri,41,0.0945,0.0858,1.101
mid,1,mid_1,Taliyah,57,0.1313,0.1339,0.981
mid,1,mid_1,Aurora,28,0.0645,0.0665,0.97
