role,,PC1,PC2,PC3,PC4,PC5,PC6
top,dpm,0.37045860187078933,0.15486560928573426,-0.45151801830601274,0.22158424996620713,0.13129039909982515,-0.02706193676553554
top,damageshare,0.48693591920118695,0.17886476716564317,0.030825958835576317,0.2387827433360488,0.14080783999355226,-0.17684687307793553
top,earnedgoldshare,0.4563875609048531,-0.24133882630518347,0.37233334610881363,-0.04544166536937363,-0.01658867567692891,0.07283558845022751
top,cspm,0.33941354983423494,-0.4180345328957022,-0.14942623327683646,0.060096626097871586,0.1162698016029988,0.2526284979065403
top,jungle_cs_share,0.055711476440771665,-0.29823298398699755,-0.3861434340742088,0.07841483576639896,-0.2559635163443383,0.15787561284542584
top,deaths_pm,0.1401214384919965,0.4695719438668318,0.16023887010872995,-0.17591866320505706,-0.3863678459124878,-0.2564791741967689
top,death_share,0.2525836963931743,0.4227958396761441,-0.3197394053174759,-0.1079195467304728,-0.23749207169492723,0.03341267315464029
top,dmg_taken_pm,0.15375046542383647,0.3402760370770166,0.03182093598176804,-0.16868286103041744,0.15698167621107806,0.7493415322542476
top,kp,0.19950328882860807,0.034881045005727696,0.2002224933582829,-0.4274884343728255,0.6070922494062116,-0.21705688158151312
top,kill_ratio,0.2866455255034167,-0.1312644479864949,0.4863701990135518,0.17503348774925628,-0.4504030196018153,0.09555245065859014
top,wpm,-0.022741315298017026,0.15824737635192274,0.10515806288403085,0.7217465794630296,0.26099538771083686,-0.15666189744449033
top,wcpm,0.26363377805560345,-0.252096483439439,-0.2617032243104838,-0.27696329216181215,-0.11728808880182301,-0.40588708869035267
jng,dpm,0.38211997375519485,0.15531095149381027,0.22368086037504914,0.39863825754145443,-0.18903156651373912,0.12295024747745197
jng,damageshare,0.3922700657131488,0.25433588680132646,0.03318056818131465,0.19332711574958358,-0.2552657563847955,0.2587640190824725
jng,earnedgoldshare,0.46773864748838173,-0.012398901342993748,-0.08150730001754874,-0.3675846903023182,0.16711695359278989,-0.09472498597216876
jng,cspm,0.43501369330948886,-0.09026305223090055,0.30284952511036634,-0.03491824182228208,0.13965238075146097,-0.2338054047913549
jng,jungle_cs_share,-0.09838452487081795,0.17004180281533285,0.5284362442899032,-0.11978636270438249,0.3380143347684603,0.4663014178084008
jng,deaths_pm,-0.08963047617541547,0.5062779263795243,-0.3878533118534709,-0.2958089100829386,0.11485876940715459,-0.030444233581497254
jng,death_share,-0.05233746418561931,0.5782396014894292,-0.1522640691878778,0.17411955807087043,0.1386493100153967,-0.2524038736475446
